arh,esp
ikuzey sakuku umún a'zuna zuga'kunamu,carta del cabildo gobernador arhuaco
"nabusímuke, febrero timase' 1994 kugise'","nabusímuke, mes de febrero del año 1994"
"ema wa'nun, constitución abiti re'bori kuchunakumuye'ri, niwi-gobierno niwikeye'ri: ""constitución- se' a'nikwuya ikun unkuzágisa awkwa nundi, miwise'ri kwa ki izanunno""","dias atrás, cuando se concluyó la elaboración de la nueva constitución política, el gobierno puso en nuestra consideración su intención de traducir la nueva carta a la lengua arhuaca"
"""eyméy nanundi, umún eyméy gwasi ki agwakunno niwe'zun ki awunno"", izanun nusi, kwa a'gwa una ni","nosotros veíamos que de ser traducida, tal vez la podiamos asimilar mejor, por lo cual se respondió que sí"
"ey uwame' uya nikamu uzweingwasi i'ngwi agaguka una ni; uya'ba i'ngwi abogado kutwinusi, igunámusi zweingwasi","para ese trabajo se escogieron varias personas, entre las que estaría un abogado para prestar asesoría"
"ey une'ki pin a'nikwuyukin ikun unkuzagikumu' nari, ingumún niwika'mukanukwéy neyka agaguka ukumana ni",sin embargo no se procedió a traducir toda la constitución sino que se seleccionaron aquellos apartes de mayor interés para nosotros
"ey uwe'ri, eyma juna neykari, niwi unkwey, zapari, zweinniwingweykazey nari jwa'samu gun niwikundi, kartiya unbona uneykari gugunka'gwa awun keywu du nanu' nunno","de hecho lo que allí se recoge, es lo que nosotros necesitamos conocer para la lucha y la defensa de la cultura"
amiga'kunamu sírigun gun a'nikwundi umún eyméy gwasi ki agwako uwá' nánuko,"por eso, al ser publicada esta cartilla, debemos estudiarla, ya que estando en nuestra propia lengua podemos comprender mejor los elementos que nos da la constitución"
"sakuku winnanun nugeykase' gwakun, zachun unkuwusi zwein keywu, uyéy a'gwa uneykari, gobierno- se'ri uyéy kinki niwikunchuñasi zweykwa, keyniwingwasi","en lo que concierne a nuestras autoridades, ellos deben asimilar bien lo que allí fue contemplado, para poder exigir al gobierno su cumplimiento"
"iwa wiñarun a'chonun nuga, unkuriwí winzwein nugeykase' nenún, uya unkuwusigwi zoyamu kau' nunno","los nuevos líderes que están surgiendo y los estudiantes, deben igualmente ir conociendo dichos elementos"
"ema wa'nun kugise' sabana crespo awiri jewrwa, uya unkuwaséykumey, eyméy nanundi ey a'gwaku' nunno izari, kartiya a'chunákuma gun uwa neykari, uyéy kinki unkuriwí awnungwa niwe'zanun keywu du nanu' nunno","el año anterior en las regiones de sabana crespo y jewrwa, al informarse sobre el desarrollo de esta traducción se apreció su conveniencia e importancia"
"a'chwun nusi, ey gwa'kwin","ahora al aparecer esta cartilla que representa el resultado de ese trabajo, se espera que haya de nuestra parte verdadero interés en conocerla a profundidad"
deaker arroyo cabildo gobernador,este mensaje no tiene otro objeto más que presentar las ideas anteriormente expuestas
ema kartiya gawi azoyana sí ikuka nánukin a'kumana,una palabra acerca de la elaboración de esta cartilla
ema kartiya presidencia-se' awun gwa'sana,"la elaboración de esta cartilla surge de una iniciativa de la presidencia de la república cuando, después de la asamblea nacional constituyente, se manifestó el deseo de traducir la nueva constitución política de colombia a las lenguas indígenas"
