arh,esp
Niwisakuku Jesú zaka'nugasin ɉwa winʉnkʉsana nare'ki i'ngwise' kineki Anugwe Duna winipanu'gwi nʉnna'me,"Cuando los apóstoles que estaban en Jerusalén se enteraron de que Samaría había acogido favorablemente el mensaje de Dios, enviaron allá a Pedro y a Juan."
"a'ga uweri nʉkeyri, kʉmeyuzey ayeygwi ɉe a'gi'kwa ni nʉkʉyeykari, eyma zʉn má Nʉpawse', Abraan nʉsakuku zʉ gʉmʉsinʉzey nari nʉnka'guna nánʉngwa ni’.","Si ella me responde: “Bebe, y también sacaré agua para tus camellos”, sabré que ella es la que tú, Señor, has escogido para el hijo de mi amo»."
"Josesin winʉnkuya ɉinari, sakuse' trigu ʉnwinʉka'nisi buruse' ʉnwindekʉɉi nʉngwa akeynakʉ ʉndizoya awi.",Entonces ellos cargaron el grano sobre sus asnos y se fueron de allí.
Ey uye'ri Jesuse' keywʉ key ie'ri: —“Tá kinkiri iwagwi nʉnsin ku'nawakʉ ʉnnʉnanʉnpʉna gun neri” kʉyana.Jesú ʉnwichana(Mt. :-; Mar. :-; Jn. :-),"Y añadió:—Jesús, acuérdate de mí cuando vengas como rey."
"Ey uye'ki Lori ɉwʉn zʉn riware'ri, Niwipaw zʉ gunamʉ ɉinase'ri chʉwí gun winʉkʉnise'ri, guna' wintosi keywʉ Lot zʉn a'mia, awiri abu'gʉmʉ ɉina nenʉn wʉrʉsi, powruse' pari ʉnwinachunhey ʉnwinikwana.","Pero como Lot titubeaba, los mensajeros los agarraron de la mano, a él, a su mujer y a sus dos hijas, y los sacaron fuera de la ciudad, porque el Señor tuvo compasión de ellos."
"Nari nʉngwari pin nʉnase' dukʉchʉ Demetriwri gun zaka'cho'kumanʉndi tá nʉnase' gwakʉn ayeygwi. Niwi gwakʉn du gwi zaka'cho'kumʉya gun nʉndi, má gwakʉn tá ey ayʉn nugindi eygwi me'zanu' kinó.Anasisana","En cuanto a Demetrio, todos, y la misma verdad lo confirma, dan testimonio a su favor. Un testimonio al que sumamos el nuestro, y tú sabes que nuestro testimonio es digno de crédito.Saludos finales"
"I'mʉnʉ keywʉ nʉngwa Juan Bautista winʉkʉriwiya ɉina na'ba farisew ɉinasindi marʉneykʉ rinikʉn nuse'ri, ingʉ mowga'ri Jesú kʉzoriri: —“Juan Bautista winʉkʉriwiya ɉina nariri farisew ɉinasindi marʉneykʉ gun rinige'ki ¿Yari mazey ɉinari riniku'rino?” keykumaye' nʉngwa",y par.; Lc
"Pabluse' eygwi key ie'ri: —“Ʉweri judíw nanu' neykase' Niwipaw zʉ ga'kʉnamʉ niwinkwʉya, kwazoyana nʉnkʉri ikʉnha'ri ʉnwinipana awʉngwa na'nʉnno” na'zari miwikuwa'na unʉndi na'zarin, winʉkʉyana.b","Sepan, pues —añadió Pablo—, que el mensaje salvador de Dios ha sido ofrecido a los no judíos; ellos sí que le prestarán atención.["
"awiri amikakʉ, amizaku riguzʉnhasʉkwaa na'ba amisinamʉri má nʉriguzʉna zana' a'chwi riguzʉnhasʉkwa yeykari nanu'kinó”b key ie'ri,","honra a tu padre y a tu madre, y ama a tu prójimo como a ti mismo."
"Ey anawi Jakoburi eygwi ʉnzoyanari gunti ɉwí a'chonʉya kiárigʉn,",Jacob continuó su viaje y llegó a territorio de los orientales.
"Paroma zumukusin michwa keywu uwin, nuzoya uye’ri, me’wasi zoya ukwin; nanuka’chona uye’ri nuza’kinuga me’sisa keywu ukwin. Azi nukei’ nari, nugwe nisiri eygwi nuzwein pana au’ nare, eygwi anáchukwa nukei’ nari. Paroma zumuku wurusi nuzoya zu’n au’ nare, me’wasi me’wasi zoya unawe’ki, bemáy neki nunuka’chonu’ zu’n narin. Ku’nawa nenun mitaka ukwe’ri nunuka’chonu’ nun au’ nare; jiwu sinkékukin mitaka ukwe akingwi, nunumasey awuno na’zari mika’kana ukwe’ri i’ngwi kineki numasai’ narin. Chuwé riwunkwin ey uye’ki eygwi unde’chonukwa nukuzanisin, eygwi ana’chona ukwe’ri anunka’chonukwa nisin ey uye’ri jwawikase’ zeyzey na’zanisin.","Yo te vi con tu vestido de paloma, te fuiste y te seguí hasta que te encontré y pregunté tu nombre. No me respondiste. Lo que hiciste fue pararte y marcharte sin ninguna despedida. Te marchaste arrastrando tu vestido de paloma, te seguí y te seguí, y no te encontré en ninguna parte. Te busqué en el cielo y no te encontré, te busqué en el mar y tampoco, te grité para ver si respondías pero nadie contestó. Me sentí muy triste y me devolví. Cuando llegué te encontré y mi corazón se llenó de alegría."
"Pabluri Mileto nare'ri, Jesú tá wina'chwʉya ɉina zʉ sakuku umʉnte wina'zʉna ɉina Éfeso zanʉ winʉkʉkanʉn gwa'siri.","No obstante, desde Mileto Pablo mandó llamar a los dirigentes de la iglesia de Éfeso."
Ey ʉweri Nʉn Miwisakukuri emari birin pari kingwi unika awnʉngwa niyanarwa gun nʉndi’.b,por él conocidas desde tiempo inmemorial.
