esp,ing,parte
"el estado garantiza las libertades de enseñanza, aprendizaje, investigación y cátedra","nukanchipa atun llagta tukuikunatami iuka kuanga, nukanchi ima munaska ianga iachaikungapa u nukanchita ima mas ministikata iachaikungapa, u iachachigkuna imasa suma iachaskasina iachaikugkunata iachachingapa",articulos
"el pueblo la ejerce en forma directa o por medio de sus representantes, en los términos que la constitución establece","chi suma iuaikuna nukanchikikin u atun taitakunawami tuku, imasa nukanchipa achka iachag pangakuna iachachiskasina",articulos
en más de una ocasión tuvieron que volver a empezar porque la gente no entendía,"kai achka lachag pangata nukanchipa simima ialichiika, sug sapalla runa mana pudirkachu ruranga, mas iurakunapa i nukanchipa simi maituku askurinti allilla rimag kagpi imapas; sapalla tiarispa nukanchipa simipi churangapaka, suraka ministimi sug rigcha churaspa u sug rigcha kinguchispa apachingapa, antiwamanda mukanchipa rimaikuna chingaska kaskakunata kaugsachispa, kaugsachispa apachingapa i nispaka nukanchipa simipi churangapa, chasa ruragpi askurinti suma rigchami i alli uiarimi kangapa ka",coordinador
estas lenguas están entre las más habladas de las sesenta y cinco lenguas diferentes que existen en colombia,"sugkunaka ñi nukanchi kikimpa rimaillatapas mana makiwa kalpachispa churangapa iachanchichu, chara kunaurami wawakunasina iachaikui kallarinakunchi, chasa rurangapa",coordinador
artículos relativos a los derechos de las personas,nukanchi ima mañangapa ministiska,titulos_constitucion
artículo relativo a la justicia en los pueblos indígenas,nukanchipa taitakuna imasa,titulos_constitucion
digitalizado por sistema de bibliotecas-universidad de los andes,paikuna mana chasa maki manchiwagpikunaka manimami kai wachuta llugsii pudini,carta_traductor
"santiago, putumayo, septiembre 26 de 1993",traide achka iachag pangata nukanchipa simipi ialichig paipa makiwa kalpachispa kawachiskata rigsisunchi,carta_traductor
"para ser elegido senador se requiere ser colombiano de nacimiento, ciudadano en ejercicio y tener más de treinta años de edad en la fecha de la elección","awanigmanda kawagta agllangapa, kai nukanchipa llagtapi iukariskami iuka kanga, ñimapipas mana pandariska, paita maskanakuraka kimsa chunga wata chasamami iuka iukanga",articulos
no habrá pena de muerte,nukanchipa kaugsaitaka runakuna mana pudinkunachu anchuchingapa,articulos
deseo manifestar mi profundo agradecimiento al sr,chiwanka paipa mandupimi kidarkani,carta_traductor
"la entrega oficial de esta traducción, es el resultado de un exhaustivo e intenso trabajo con los representantes de las comunidades indígenas, en el cual nos hemos nutrido de su milenaria sabiduría, para comprender con ellos, el secreto de su ancestral convivencia pacífica","iapa saikugtami kada puncha, kai alli iachhiikunata maskanakurkanchi, tukuikuna kaipi sumaglla waugkindikunasina sugmalla kaugsangapa, iukag, mana iukag, wapu, mana wapu,ña askunrinti unai animal kai atun llagtapi kaugsagkunamanda, kai iapa sumami ka",presidencia
la cámara de representantes se elegirá en circunscripciones territoriales y circunscripciones especiales,"awanigmanda kawadurkunata katiraiagkunata maskaringami, wawa llagtakunapi, imaura iurakuna  willaura",articulos
digitalizado por sistema de bibliotecas-universidad de los andes,conversidad de 25 andes,titulo
"las personas-puentes iban a ser, en primer lugar, indígenas lingüistas, formados casi todos en nuestro centro, pero también maestros, promotores de salud, líderes políticos, en general gente con un mejor conocimiento del mundo blanco; los conocedores de la tradición serían según los casos: mamos, payés, chamanes, taitas y ancianos o sea líderes espirituales de las comunidades","imasa iurakunapa simipi niraiaskasina churaspa, churaspa apachingapa",coordinador
"por la dificultad del texto castellano por traducir, por la necesidad de buscar en las lenguas indígenas palabras y giros con usos o sentidos muy poco familiares a los hablantes, era imprescindible dar un carácter colectivo a la traducción y recurrir a grandes conocedores de la tradición por un lado, a ""personas-puentes"" por otro lado",kai achka iachag pangata nukanchipa simima ialichingapa,coordinador
"al presentar nuestro apoyo a la traducción también solicitamos a las instituciones del estado, escuelas, colegios y universidades su difusión, adopción y aprendizaje, ojalá como un texto obligatorio para su estudio; de esta manera podemos y estamos dispuestos a recibir cualquier clase de sugerencias siempre y cuando sea constructiva","ni iurakunapa, ñi nukanchipa rimaipi imapas mana rigsirkanchichu",carta_gobernadores
el patrimonio cultural de la nación está bajo la protección del estado,nugpamandakunapa iuiai kaugsai tukui ima kai atun llagtapi tiaska mama llagtami iuka kawaspa sumaglla wakachinga,articulos
"esta constitución nos es útil, en la medida que participemos en su desarrollo legal, para que nos ofrezca protección a nuestras leyes vernáculas y nos dé mayor fuerza para seguir existiendo como pueblos indígenas","chi achka iachag pangakunapi, nukanchimanda makiwa kalpachispa chi pangakunapi churangapa chasalla mana karkachu, chinigta nukanchimanda iuiachingapa, nukanchipa achka waugkikunatami wañuchirkakuna, chi nukanchita chaiaskata iurakunata mañanakugmanda",favorable
articulos relativos a la protección de los derechos fundamentales,maikan mas suma mañadirukunata kawasunchi,titulos_constitucion
"las acciones populares sirven para proteger derechos e intereses colectivos relacionados con los bienes de uso público, el espacio, el ambiente, la seguridad y la salubridad públicas y otros que contemplan nuestra constitución y la ley","sapalla u tukuikuna iuiaipi u kaugsaipi nanachigpi u manchachii apagpi mana ñi pipas michangapa tiagpi, maikan iura mana suma kaskata allilla iuiachi durpagmami iukanchi ringa, mana allilla kagmanda jirukunata allichipuai ruwangapa",articulos
"habrá un consejo nacional de planeación integrado por representantes de las entidades territoriales y de los sectores económicos, sociales, ecológicos, comunitarios y culturales","atun llagtapi sugllapi tukuska runakunami tianga ministidukuna mañangapa sug atun llagtapa wawata uchullaiachiskamanda runakunawa, sug kulki iukagkunawa, mana kulki iukagkunawa, alpapi ima  alexand  n z  xx  tiaskata kawagkunawa, tukui kaugsagkunawa i runakunapa iuiai i kaugsaita mana wañuchispalla",articulos
"el trabajo no podía ser un simple ejercicio individual de una persona que, manejando dos lenguas, se sienta en su escritorio y acomete, sola, la traducción","chi birsiai, iuiai, kausai, chikunata uiaspami nirkanchi, kaikunaka chitukumi iachakuna kaska",coordinador
"pol  el estado protegerá especialmente a aquellas personas que por su condición económica, física o mental, se encuentren en circunstancia de debilidad manifiesta y sancionará los abusos o maltratos que contra ellas se cometan","atun llagta tukui ministidutami sugllapi suichispa iuka maskanga, chasa ruragpika sutipa i allillami kanga, suma taitasina mana piñaspalla wagchukunatapasmi iuká sumaglla kawaspa aidanga",articulos
habrá un número adicional de dos senadores elegidos en circunscripción nacional especial por comunidades indígenas,"nukanchipas iskai awanigmanda kawagmi pudinchi maskanga, iurakuna munagpi u mana munagpi imapas, nukanchipa iaskai runakuna iukankunami tiagrigringa, paikunata maipi chaiaskapi, nukanchimanda sumaglla rimaspa i kawaspa",articulos
"segundo antonio jacanamijoy, de la organización nacional indígena de colombia - onic-, quienes trabajaron con mucho empeño y desinterés en el rescate de este proyecto","bogotámanda sug papilmi kachamurkakuna nukata sugta killa manchiwachukuna nispa, chiuraka piñariimi kallarirkakuna",carta_traductor
digitalizado por sistema de bibliotecas-universidad de los andes,"achka iachag pangata, nukanchipa simipi ialichispa apaskata, mandu kuanakunchimi tukuikuna apispa, apispa apasunchi",carta_gobernadores
"juan jansasoy tisoy, antonio cuatindioy, adilio raúl chasoy, gobernadores de santiago, san andrés y aponte respectivamente, y otros gobernadores que asistieron a los seminarios de traducción efectuados en el cabildo inga de santiago, putumayo","allita chasa kuawarshangichi, mana chasa kuawagpika manimami kaita puchukangapa pudini",carta_traductor
"agradezco a todas las autoridades indígenas, líderes y maestros bilingues quienes, en una u otra forma contribuyeron para que esta obra salga adelante","nukata chasa kuawauraka, doctor jon landaburu ñi imapas mana niwaspallami, nukata ima ministiwaska kuawarka",carta_traductor
francisco tandioy jansasoy responsable de la traducción,"atun llagtapi, tukui nukanchipuramanda rimapugkuna ,onic sutipi trabajagkunata alfonso palma i segundo antonio jacanamijoy sutikunatapapsmi pai siñursitu iukani inga, allita saikugta i sugratuka piñai tukugta imapas purishangichi",carta_traductor
los derechos de los niños prevalecen sobre los derechos de los demás,"atunkuna, kaipi runapura kaugsagkuna i atun llagta iukankunami sugmalla kawaspa, ima ministiska randipuspa, wawakunata sumaglla atarichingakuna, chasa ruragpika sumami wiñangakuna u mana kagpika panagtami wiñangakuna",articulos
"las entidades territoriales elaborarán y adoptarán de manera concertada entre ellas y el gobierno nacional, planes de desarrollo, con el objeto de asegurar el uso eficiente de sus recursos y el desempeño adecuado de las funciones que les hayan sido asignadas por la constitución y la ley",tiq sqaidoine imamlansleidoilsi,articulos
los integrantes de los grupos étnicos tendrán derecho a una formación que respete y desarrolle su identidad cultural,"wamrakunapa taitakunami iukankuna agllanga, paikunapa uchulla wawakuna ima iachaikungapa munaska",articulos
