way,esp
Ee’irajüshi taya wanee jayeechi sümüin Marakariita.,Yo canto un jayeechi para Margarita.
Ne’rüinjachi taya tachukuwa ’aya.,Ellos me van a ver de nuevo.
Aya’lajeesü Tareesa wanee komputatoora tamüin.,Teresa quiere comprar una computadora para mí.
Waneepulu ma’in sukuwa’ipa tepijaaya: alojushi taya kaliina jee nalojuin taya na wayuukanairua – nümaka walitkai nümüin pürinsipechonkai.,Mi vida es muy monótona: yo cazo gallinas y los hombres me cazan a mí – le dijo el zorro al principito.
Washitshaanas hi ma’i wayuukai chii.,Este hombre es muy rico.
Paapaa susukoo tüü sümaa ja ’rai shikii nneerü.,Toma esta mochila esta con cincuenta monedas.
"Japüishi chira jintüi kai, nnojoishi ekeein o ’upalaa.","Ese niño tiene vergüenza, no quiere comer delante de alguien."
Alu’u anaajaainja ’aya nneerü alijuna kai chira.,Ese alijuna sí que guarda dinero.
Teküinpu ’u majayüt kalü türa.,Esa muchacha es la encargada de mi comida.
¿Ashajayaashikaleje ’e chira Ø?,¿Ese está escribiendo o no?
Ana putuma türa Ø checheiwa kojonkolu.,Acomoda bien eso para que el cajón quede apretado.
"Ayonnajüshi Kamiirü (taya, nia, pia)","Camilo baila (yo, él , tú)."
"Ayonnajüsü Mariia (taya, shia, pia)","María baila (yo,  ella, tú)."
"A’lakajaashi Kamiirü (taya, nia, pia)","Camilo cocina (yo, él, tú)."
"A’lakajaasü Mariia (taya, shia, pia)","María cocina (yo, ella, tú)."
sha’wataa,estar parado
kerawaa,estar completo
chuwataa,estar encendido
iraa,ser insípido
chü’lüü,estar mojado
makataa,quedarse
waraitaa,pasear
shankataa,cojear
asha’walawaa,pararse
ojutalaa,abrir
ekeroloo,entrar
makataa,quedarse
keewataa,arrear
talataa,estar contento
waraitaa,caminar
jakütaa,estar maduro
isaa,escaparse
unataa,andar
ürüttaa,lloriquear
aiwaa,doler
amüloulii,perderse
anamiaa,ser pacífico
ayuulee,estar enfermo
emiraa,estar saciado
outaa,morir
sha’wataa,estar parado
asha’walawaa,pararse
epiralaa,llenar
ko’owaa,ser redondo
oko’oloo,redondear
atunkaa,dormir
eisalawaa,acostarse
o’otowaa,montarse
achitaa,golpear
ojottaa,morder
e’raajaa,conocer
ekaa,comer
emiralaa,tragar
malaa,ser tonto
emiraa,estar satisfecho
momoluu,tener miedo
jemeyuluu,parir
waüwaülüü,estar tendidos
apütaa,dejar
achajawaa,buscar
jimataa,estar quieto
kamanewaa,ser amable
aya’lajaa,comprar
asaa,beber
ekaa,comer
o’unaa,irse
mala a,ser tonto
emiraa,estar satisfecho
iraa,ser insípido
Tachajaainjatü tü saruweesakalü.,Yo voy a buscar la cerveza.
Achajaainjachi taya saruweesa.,Yo voy a buscar cerveza.
Püya’lajeeerü tü meruunakalü.,Tú comprarás el melón.
Aya’lajeerü pia meruuna.,Tú comprarás melón.
Wa’lakajaa injatü tü asalaa kalü.,Vamos a cocinar la carne.
A’lakajaainjana waya asalaa.,Vamos a cocinar carne.
Nünaajaainjatü Kamiirü tü nneetkalü sulu’u wanee susu.,Camilo va a guardar el dinero en una mochila.
