arh,esp
"Padán-arám ayekʉ pari ʉnnakʉn nu'kwe'ri, mazaku Rakeriri, Kanaán ʉnnʉkiwicha awnʉnko, eyki Efrata kinkumu' kingwi; ey uye'ri Efrata ʉnzori ka' anisa gun unarwʉndi, iwari Belén ayekʉ”.","Cuando yo regresaba de Parán Aram, se me murió Raquel, poco antes de llegar a Efrata, en Canaán, y allí la sepulté junto al camino de Efrata ."
"i'ngwi uga mowga kʉtow ʉnhakwʉya nariri, i'ngwi kakʉ zʉ gʉmʉsinʉ zʉn nariri, i'ngwi ʉnhakuya nʉngwa niwisin ʉnnanu' neki, i'ngweygwi awʉ' a'zʉna nʉngwari nʉkakʉsin Kanaán achusa uyʉn” keykumaye'ri.","éramos doce hermanos, hijos del mismo padre; uno ya no está con nosotros y el menor se ha quedado en Canaán con nuestro padre»."
Awi krususe' asakayri: ʻEmari judíw zʉ rey gun ey kaweri ka'nisi ekʉɉa nenʉn ukumanaʼ.,"—Si tú eres el rey de los judíos, sálvate a ti mismo."
"Ey uye' nʉngwari “posuri Sebá za'kinukʉngwa ni” keywʉ Isaari yana, ey anʉwa'me zʉn iwákʉkin eyki eyma powruri Beerseba za'kinuga nanu'nó.","Isaac le puso el nombre de Sebá —es decir, «Juramento»—. Por eso la ciudad se llama hasta el día de hoy Berseba —es decir, «Pozo del Juramento»."
Ey ʉweri kʉtʉkʉnʉn ka'gʉmʉ a'bore pari profeta ɉina gwasi ka'se' ɉwa kidosʉn gwa'kumanachʉka kinkiri miwi zʉn gunʉ miwinhagasi miwe'zasikumʉngwa gun neri.,"De este modo demuestran estar de acuerdo con lo que ellos hicieron, porque ellos asesinaron a los profetas y ustedes construyen los monumentos funerarios."
"Inʉ riwiaweri a'zanu'gwawa, arunhaweri a'zanu'gwawa nariri,wa'ku nanʉngwa a'zari, umʉ twí nika,awiri no'ku nanʉngwasi kukwa'ri gumʉ anʉnkupa zʉn awaki gun nukʉndi,eymí niku nari, nʉga'kʉnamʉ ana'nosiriʉnwinʉnkʉrigʉnchona awʉndi,du ana'kusari a'wnʉnʉnarwe yaneyka ikʉnha'se'ri winʉkʉnchonu'nʉnno’.a","Porque el corazón de este pueblo está embotado. Son duros de oído y tienen cerrados los ojos, de modo que sus ojos no ven, sus oídos no oyen y su corazón no entiende; y tampoco se convierten para que yo los cure."
¿Yari ɉwíri kawʉ nere'sʉngwasi beki ɉwí du ukumʉyekʉ neki nʉzwei'ri nʉnare? ey awi ʉnna'ni'kweri ɉwíri kawʉre'sanasin nenʉ́n newekumʉngwasiʼ kʉyana.,"El rey le contestó: «Eres un mal administrador, y por tus propias palabras te condeno. Si sabías que yo soy un hombre duro, que pretendo tomar lo que no he depositado y cosechar lo que no he sembrado,"
Ʉwe'ki ikʉ guna'kumana ɉina kinkiri nakʉkwey neki winʉkʉnanu' ná gunti í zʉn i'ngweti gwamʉ winʉnkʉsisʉyari. I'ngwi yeykari: —“Zóya awninza ne'ki ka'gʉmʉ ʉnkisʉnnárwa chwʉn zweykwagwi nʉkawin ie'ri”.,"Cuando llegó el día de la cena, envió a su criado para que dijera a los invitados: «Vengan, que ya está todo preparado»."
"Pilatuse'ri saserdoti zʉ sakuku ɉinase'ri, karikʉnʉsin zʉn Jesuri gunʉ igakaki nugín a'chuya'me ey winʉkʉyana.",Pues se daba cuenta de que los jefes de los sacerdotes se lo habían entregado por envidia.
"Ey anawi nʉngwa Jesuse'ri, ikʉ zeywamʉ ʉnkumʉya'ba gunʉ wina'kumana ɉinari mesase'ri ingumʉn du zʉnekʉ asʉnʉngwa kʉzʉnin gun wina'chuye'ri eymí winʉkey keywʉ ga'kʉnamʉ ʉnkʉwasi winʉmaseyna:","Al ver Jesús que los invitados escogían para sí los puestos de honor en la mesa, les dijo a modo de ejemplo:"
"Inʉri Inʉ miwikuga'kumʉngwa ayaneykari miwizey nari, miwigʉmʉsinʉzey nari keywʉri akín akowna' zʉnekʉ kwʉya Niwipaw sakukuse' ʉnka'gukʉyazey nari gun nʉndi” winʉkʉyana.","Pedro les contestó:—Conviértanse y que cada uno de ustedes se bautice en el nombre de Jesucristo, a fin de obtener el perdón de sus pecados. Entonces recibirán, como don de Dios, el Espíritu Santo."
Pedruse'ri: —“¡Inʉ ey nʉgwʉgín neki na'zanu gun nʉnki!” Í eyki asáyʉn nuse'ri gayuri kana una.,"Entonces Pedro exclamó:—¡Amigo, no sé qué estás diciendo!Todavía estaba Pedro hablando, cuando cantó un gallo."
"má nʉga'sanari,pin powru zanʉn nugay winchwagwi awʉngwa na'nʉnno.",y que has preparadoa la vista de todos los pueblos:
"Ʉweri ema ga'kʉnamʉ duna gowiernu warinzanʉse' pari nʉgari, i'ngwi ka'gʉmʉse' tʉgʉnza zaka'cho'kumʉya ano'kwa unige'ri, akowna ʉnzanisi na'nʉnniko.","Y este el evangelio del reino se anunciará por todo el mundo, para que todas las naciones lo conozcan. Entonces llegará el fin.La gran tribulación"
"“Na'ba ikʉ agutari akuya ɉinari mi gunamʉ rinariri, powru ɉinari chow miwari biwkʉnʉ cho'ki rinikʉngwa nanu'nʉnno, iwa misinamʉ ɉinari chow miwari biwkʉnʉ cho'ki rini'nige'ri mase'ri kʉre'gukʉya nanʉmingwa ni; awi du inʉ mikizwe'i nánʉngwa miwʉnari, ayeygwi du inʉ kizwe'igwi nánʉngwa na'nʉnno, ʉwe'ki du inʉ kizweingwa miwʉnari ayeygwi du inʉ kizwe'i nʉnno”.","Que tengas pueblos por vasallosy naciones se inclinen ante ti.Que seas señor de tus hermanosy ante ti se postren los hijos de tu madre.¡Maldito sea quien te maldiga,y quien te bendiga, bendito sea!»."
"iwa Oholibamase' kʉgosanari Jeú, Jaalam, awiri Koré za'kinuga nʉnna, awi emari eyki Kanaán Esauri kwaye winkwakumana gun nʉndi.","y Olibamá dio a luz a Jeús, Jalón y Coraj. Estos son los hijos que le nacieron a Esaú en tierra de Canaán."
"Uye'ki Pilaturi i'mʉnʉ eygwi: —“¿Ey ʉndi miwise', judíw zʉ rey awgari azi ukumʉndi izano?” winʉkey ie'ri.",Pilato les preguntó de nuevo:—¿Y qué quieren que haga con el que ustedes llaman rey de los judíos?
"Ey uye'ki sakuku ɉinari kukwa gunʉ winʉnyunáɉuri ingamʉka' wina'kariri e' gunti Estewʉn winizukumanayuri,","Hechos un puro grito, no quisieron escuchar nada más y se arrojaron en masa sobre él."
umún a'mukanukwéy nánuya ikun a'nikwuyari i'ngweti i'ngweti áykunu re'gawiri bunachun eygwi re'zagisa ukumana ni,para nosotros este trabajo fue una experiencia muy satisfactoria
"Ey awi izatakʉngwasi winga'kumana ɉinari, Jesuri ko' zʉnaba' eymí í zʉn gun asey e' kinkiri arunhá zʉn wina'zariri azi gwasi keywʉ tosʉkwey yʉn neki wina'chu'nʉn gun winuye' pariri te ʉndinika zʉn winuna.Jesuri anawichi eygwi chʉka a'nʉkazanikʉngwa sí a'zasikumana(Mt. :-; Mar. :-)","Y no consiguieron pillar a Jesús en palabra alguna inconveniente delante del pueblo. Al contrario, estupefactos ante la respuesta de Jesús, tuvieron que callarse.La cuestión de la resurrección"
"Iwa kʉriwiya gwakʉn, awiya gwasi umʉn a'zʉna neki nanu' gun nʉndii, ʉwe'ki yow riwí anʉkʉchúnha unige' nʉngwa ʉwiyasin dikin gwi aza'nʉnno.","Ningún discípulo es más que su maestro, aunque un discípulo bien preparado podría igualar a su maestro."
"“Ey ʉwame' zʉn gun Niwipawri gowiernu miwizey na miwingusiri, ikʉ Niwipaw chow wina'chwʉyase' anipʉnhása zʉn awʉngwa na'nʉnno.","Añadió Jesús:—¿Acaso no han leído ustedes en las Escrituras: La piedra que desecharon los constructores se ha convertido en la piedra principal. Esto lo ha hecho el Señor, y nos resulta verdaderamente maravilloso?"
