esp,ing
carta de los gobernadores ingas,nukanchita sinchi charig taitakuna paikunapa makiwa kalpachispa
"santiago, putumayo, septiembre 26 de 1993","santiago putumayo, septiembre 26 de 1993"
"a los lectores; los gobernadores de los cabildos abajo firmantes somos conscientes de la importancia de la traducción de algunos apartes de la nueva constitución nacional de colombia, realizada por el profesor francisco tandioy jansasoy de la universidad de nariño y miembro activo de nuestra comunidad","kai uraladu kalpachispa makiwa kawachispa churagkuna, ubirnadur sutikuna, iachanchimi askurinti ministidu kagta"
"anteriormente nunca tuvimos la oportunidad de conocerla ni en castellano y peor en nuestra lengua materna; razón por la cual, queremos dar nuestro pleno respaldo a la dicha traducción por las siguientes razones:","achka iachag pangata nukanchipa simipi ialichingapa, chitaka nukanchipa simipi universidad de nariñomanda francisco tandioy jansasoy sutimi ialichirka, paika nukanchipagmadami ka"
"los cotraductores que le colaboraron para la traducción son: mateo chasoy, isidoro chasoy, domingo tandioy chasoy (exgobernadores), maría esperanza jacanamijoy, jaime peña jamioy, luis manuel tandioy (líderes), blanca chindoy, mercedes jacanamijoy y francisca jacanamijoy (profesoras bilingües) y otras personas muy prestantes, como son los gobernadores de guayuyaco, la floresta española, san miguel de la castellana quien envió un delegado","santu dius, ñugpata achka iachag pangata mana rigsirkanchichu"
"al presentar nuestro apoyo a la traducción también solicitamos a las instituciones del estado, escuelas, colegios y universidades su difusión, adopción y aprendizaje, ojalá como un texto obligatorio para su estudio; de esta manera podemos y estamos dispuestos a recibir cualquier clase de sugerencias siempre y cuando sea constructiva","ni iurakunapa, ñi nukanchipa rimaipi imapas mana rigsirkanchichu"
"como gobernadores nos permitimos recomendar a nuestros maestros bilingües la adopción de la traducción de la nueva constitución como texto obligatorio de estudio en nuestras comunidades y además los centros experimentales pilotos serán los encargados de capacitar a los maestros bilingües, para el uso y manejo adecuado del texto en coordinación con el traductor de la constitución","chasa kagmandami tukuikuna munanchi i nukanchikikin nukanchipa simipi ialichiskataka, tukuikunami iukanchi apispa, apispa ringa"
"esperando tener mucho eco, atentamente,",chasa kagmandami mandanakunchi tukuikuna apispa riichi: 1
692 cúcuta gobernador del cabildo inga de santiago,"chi nukanchipa simipi ialichigka, ajaimi nukanchipa simita suma iachá"
antonio cuatindioy gobernador del cabildo inga de san andrés,nukanchipa simipi ialichigta aidagkunapasmi nukanchipa rimaita askuarinti allilla rimagmi kankuna
adilio raul chasoy c,"achka iachag pangata nukanchipa simipi ialichii aidagkuna sutikankunami: mateo chasoy chasoy, isidoro chasoy chasoy, domingo tandioy chasoy (paikunakla puiblupi tianakuskami kankuna), maria esperanza jacanamijoy jansasoy, jaime pena jamioy (paikunaka puiblupi tianakuskata katiraigkunami kankuna), blanca chindoy, mercedes jacanamijoy muyuy i francisca jacanamijoy muyuy (iurakunapa i nukanchipa simipi iachachigkuna) i sug askurinti iapa iacha taitakuna, waiuiaku i floresta la española sutimanda ubirnadurkuna"
345 pasto gobernador del cabildo inga de aponte,san miguel de la castellana sutimanda ubirnadurka sug musitutami kachamurka kai achka iachag pangata nukanchipa simipi ailichii apanakura
digitalizado por sistema de bibliotecas-universidad de los andes,"achka iachag pangata, nukanchipa simipi ialichispa apaskata, mandu kuanakunchimi tukuikuna apispa, apispa apasunchi"
carta del señor presidente de la república de colombia,paipa makiwa kalpachispa kuaskata rigsisunchi
presidencia de la república de colombia,santafé de bogotá d
"santafé de bogotá, septiembre de 1993",", septiembre de 1993"
apreciados amigos: al clausurar las sesiones de la asamblea nacional constituyente afirmé que ese día se iniciaba una nueva era en la historia de colombia,"ña achka iachag pangata allichii puchukaurukuna, nukapa makiwami kalpachispa nuka imasa sutikaskasina churarkani, ña chasa rurauraka balimi kidagsamurka"
"esa misma felicidad que desde entonces anima el corazón de los colombianos, esa satisfacción que sentimos quienes hemos luchado sin tregua por construir una patria abierta a la participación, que no excluya a nadie, que cobije por igual a pobres y a ricos, a fuertes y a débiles, a los que han sido gestores de nuestra historia, cobra un especial sentido con la publicación de nuestra carta magna a siete lenguas indígenas","chi punchaka, sug musu iuiami nukanchipa atun llagta kulumbia sutipi kallarirka"
qué equivocados estaban quienes afirmaron alguna vez que la constitución sería un texto muerto,"tukui kai atun llagtapi kaugsag sungukunapi, askurinti iapa allimi iachirka"
"la entrega oficial de esta traducción, es el resultado de un exhaustivo e intenso trabajo con los representantes de las comunidades indígenas, en el cual nos hemos nutrido de su milenaria sabiduría, para comprender con ellos, el secreto de su ancestral convivencia pacífica","iapa saikugtami kada puncha, kai alli iachhiikunata maskanakurkanchi, tukuikuna kaipi sumaglla waugkindikunasina sugmalla kaugsangapa, iukag, mana iukag, wapu, mana wapu,ña askunrinti unai animal kai atun llagtapi kaugsagkunamanda, kai iapa sumami ka"
"por eso, este texto no se conformó con convertir una palabra hispánica en otra indígena, sino que fue más allá en su esfuerzo; agregó a las normas constitucionales, la sabia filosofía de estos pueblos, enriqueciendo el sentido de los principios constitucionales",ña kai achka iachag pangata kanchis sugrigcha rimaikunapi surkuspa kuangapa
"por lo tanto, no vacilo en afirmar que este texto encarna el espíritu que animó la labor de los constituyentes: tenemos derecho a vivir en un país que como éste, sea amplio, tolerante y lo suficientemente democrático, para que todos tengamos un lugar bajo el sol de colombia",kai achka lachag panga mana ñi imapa mana balingapa kagta nigkunaka diltudumi limpu pandarispa karkajimikuna
"me asiste la certeza de que con la conclusión de este esfuerzo, ustedes reciben las herramientas necesarias para emprender la construcción de un nuevo y mejor futuro","kai nukanchikikinpa rimaipimi makiwa kalpachispa kuanakunchi, kai achka iachag pangata kamkunata kuangapa kaskataka, askurinti allimanda i sumagllami iuiarispa ruraska ka"
digitalizado por sistema de bibliotecas-universidad de los andes,"kamkikinkunapagmandakunami rurarkakuna antiwama iachaikunatami iachaikurkanchi, chikunawa tukuikuna waugkikunasina kaugsangapa"
"santiago, putumayo, septiembre 26 de 1993",traide achka iachag pangata nukanchipa simipi ialichig paipa makiwa kalpachispa kawachiskata rigsisunchi
"a los lectores; en mi calidad de traductor de algunos apartes de la nueva constitución colombiana, me permito anotar lo siguiente:","santiago putumayo, septiembre 26 de 1993"
"recibí con agrado la designación como traductor de algunos apartes de la nueva constitución colombiana a mi lengua nativa, inga",kai achka iachag pangata nukanchipa simipi ialidursina kaikunami munani kamkunata allimanda parlanga:
