esp,nas
ANTES DE EMPEZAR,WEC'TE PTA'S'N'I
"Nuestra Nación se llama Colombia. Las personas vivimos bajo la protección del libro mayor del poder. Verdaderamente ésta forma de organizar la vida por escrito es de los no indígenas el que se llama Constitución Política. Ahora los indígenas también podemos participar en la construcción del bienestar del país dentro de este territorio grande, juntando todas las manos; juntando las cabezas como un sólo pensamiento y de todo corazón, sea no indígena, negro, todos. La resistencia indígena enseñada por la tradición de nuestros antepasados ahora quedó más reconocida, en ese sentido nos es placentero.","Kwe's' C'Hab wala kiwe' Kulubya yaase'. Naa kiwete nwe'wesa' ikahsa Ec Ne'hwe's kusetek nasa' maa maapa ipe'hn'i ya'fi'ze'. Waaswe's'yuh na'we f'i'c'a f'i'zewa'ha's neesn'iyuha', k'a'stha'w ikahsa Ec Ne'hwe's yase'. Ác'pa k'anina'wey nasasa ha'da naa kiwe walate uta hwe ewc'ac'a úswa'ha's v'itwa'k yuu, pemaa kuset'ipa púp'na; pemaa dik'theyakhpa teec' na'wec'a yahk'na, úushu h'ukay, waasma'kyuu, kúc'ma'kyuu, napa h'uka. Kwe's' hu'gthé'we's úskiwe'n'i's pu'k'ithya' neesn'i' ác'ha' weh'ku ewuc'a nenyu, k'a weh'ate bakac'tepa wec'ayuhsayuhha'."
"Esta obra es un trabajo colectivo, el cual se obtuvo a través de cuatro talleres de maestros indígenas del Resguardo de Mosoco, por tanto no es un trabajo individual. Los artículos están escritos en forma de diálogo. Esto nos permitió aprender muchísimo, lo que aprendimos, queremos compartir con todos y por esa razón expresamos aquí nuestro pensamiento.","Naa mhiyu' Musukwete kapiya'sawe's'yakh pahzus pi'kictekyuu, sa' teec'ame mhin'i' f'i'n'i pe'layu' puuk' we'wecna'we yahk'c'a f'i'n'i úsa'.Sa' ayte' wala piyatha'w, sa' h'ukaysayakh it'udewa' hi'pa' ma'wesayakhpa, k'a'pa'katha'w kwe's' d'ik'the yack'n'i's ayte ki'pu'."
"Lo aquí escrito del libro mayor está repartido en tres partes, en cada uno de ellas hay cosas de interés para el conocimiento: en el primero, es la traducción contextual escrita en la lengua indígena; en el segundo, lo que dice en castellano; por último, lo que permite comparar la forma diversa que toma cada pensamiento.","Ec Ne'hwe's'tewe's'a's ayte f'i'n'i tekhasu t'uden'i' k'a isahy hiyuwa' hi'pa': nyafte' Nasa Yuwete úsa'; e'ste' waas yuwete úsa', nmehte' we'wen'i yuweisa d'ik'the yaak'n'i ma'weta f'iiy f'iiy u'hwe' k'a's kaha'da'na thegc'a hiyuwa' úsa'. "
Esperamos que este trabajo sea para todos los interesados de utilidad.,Na'sa' h'ukaysa kaselpi' itháasu'tha'w.
ABELARDO RAMOS,Abelardo Ramos
Responsable de la Traducción,Responsable de la Traducción
CONTENIDO,WE'WEN'I ÚSA'
"Lo que está aquí escrito en Nasa Yuwe es la organización de-la vida de los colombianos ""blancos"". También a los indígenas nasa por estar dentro de este territorio colombiano nos compete conocer esa organización, para estar claros en qué situación estamos y cómo debemos concertar, si hoy hemos llegado a resistir por estos 500 años. ","Ayte na'we f'i'n'i úsa'na', naa Kulubya c'hab walakiwete waaswe's' f'i'zen'i's ikahsa Ec Ne'hwe's'a's nasa yuwete f'i'n'i. Nasasapa naa Kulubya kiwete úspa'kayu' f'i'zewa'ha's mawe v'itn'itepa ew hiyuc'a úswa'ic'ak kasehe', ma'wetepa ew áate hiyuc'a ma'wete úsc'apa ki' k'a isai waas npicté't'i puuk' k'a'we úsuka hiya' ya'ewuna, 500 a'kaf' uta pu'kithna káhya'c'a."
"Primeramente recordemos el pensamiento que tenían de la vida nuestros primeros mayores, como personas. Desde la antigiiedad nuestros antepasados tuvieron la vida bien organizada que ha servido para mantenernos como hermanos; a esta enseñanza es lo que los mayores llaman la ""palabra ejemplar"", lo que es la tradición de nuestra cultura. En el lenguaje actual esta tradición es la verdadera palabra mayor, la palabra luz y esta no cambia. Para vivir la vida en armonía basta recordar la tradición que nos aconseja esa palabra mayor y cumplirla. Ahora, vamos a recordar la forma en que surgió la presente Constitución que nos interesa a todos.","Sa' yacka thé' ma'we yahk'c'ata nasnasa f'i'zena úsu' k'a'skhwe' yaakika; hu'gthé'we's'a' maantey kiwehuyta f'i'zen'i's pyakhna'we úswa' v'itc'a ipe'hna úsu', naat'i's pta's'c'at' yacka thé' yu'k'pehna we'wen'i hí, úskiwe'n'itewe's' weh'a's. Ác'h yuwete wewewéteyu' naa úskiwe'n'ite weh'a isa kwe's' yuwe ne'hwe's'a', naa yuweyu' phu'se'na úswa' hi'pmesa'. Wétkwec'ac'a úswéc'a, naa hu'gthé'we's' nv'itn'i weh'ate yahk'c'a nasasa' ki' K'tey yuuna fi'zewa'c'aa', isa yuuteyu'."
