esp,nas
contagiar,neesu-niipeetje-
nada,quíj yujva
herido,"cpáyúuni, cpávitni"
tejer,um-
herir,cpávit-
convidar,"pi'cy-, jypi'cy-"
tiznar,cjúchji'j-
llevar,"tu's-, tú's-"
usado,iijyúnisa
juntamente,ja'ndarraj
cacho,cachu
borrachero,yash
permitir enterrar,caapenda'j-
agacharse,"quityáa-, quitya'tya-"
ponerse pesado,dujáa-
cáscara,zits cja'ty
atemorizar,caawáshi'j-
rumbo lejano,jyu'j dyi'j
propiciar,caapeewecha'j-
secarse,ujndy-
alistar,pjeu'j-
corriente,"ejme, ejmejme"
boca arriba,cjéetee
agua,yu‘
arrugarse,"chu'nzhu-, cue'nzhi-"
casarse,iimi'-
gobernador,"ne'jue'sh, tutjensa"
sacristán,sangistan
azuzar,cvis-
quebrar,"ujnd-, unduund-"
arroz,luus
maní,quítj
lograr halar,cpaawenzh-
ultraje,"wéeshuni, pcyuuwe'weni"
ruana,atyj
jigra de tejido flojo,cumby ya'ja
desarraigar,cjumbe-
salir,case'j-
querido,wendynisa
mojarse,újt-
morir en lugar de otro,paauu-
hacer,"vit-, yúu-"
redimir,jíi vit-
colgante,lepja
catarro,acj
gato montés,mish jamby
cola,menz
ácido,pllana'
inclinarse,quitje-
tercero,tecjtewe'sh
ser agredido,ya'ptjáawe-
calentar,cbaji'j-
agredir,nui-
esquina,punza
estar apretado,peetenzu-
nunca,"bagach yujva, uca"
hijo,men
suyo,iindy jíi
mico,micu
fuerte,chjáchja
bien,ew
grueso,tyjityj
vestido,atjni
casamiento,"camba en, ptamu en"
prestar,pqui'j-
inteligente,wala jiisa
desnudar,súupi'j-
jamás,bagach yujva
mandar avisar,caapta'shi'j-
mandar matar,quiicje'j-
campo,mjíi ej
líquido,yu‘
lavar la cara,pchjí'chi-
ser,yuu-
horno,julnu
estómago,tuty
azul celeste,atate tséy
escama,wendy cja'ty
trapiche,"el apichi, tlaapichi"
remojar,tuupja'j-
trigal,scuutyj ej
azul,tséy
pálido,chijme yuuni
curíbano,ulñi'ñ
bajar,quíj-
panzón,buc
toro,tulu
canasto,cash
CONTENIDO,WE'WEN'I ÚSA'
condimentar,peetje-
color claro,tsejctsejc
cerca,upj
