way,esp
"Antüsü wanee palajana, antüsü wanee mapan.","Llegó primero una, llegó otra después."
"Nüsouktakalaka Jesús nümüin:—Tamüsü paala pümüin süchikua: Chi eekai alin apüla taya, oonoweechi sümaa tü tekirajakat anain. Aijeechi nia'aya nüpüla chi Tashikai je anteena waya nünainmüin süpüla nümaain waya waneepia.","Jesús le contestó:—El que me ama de verdad se mantendrá fiel a mi mensaje; mi Padre lo amará, y mi Padre y yo vendremos a él y haremos en él nuestra morada."
"Anainja tojuittüle yaajee tale'ejaiwa nünainmüin tashi tamaiwa nümüin: “Taataa, kaainjalashi taya nuulia chi Maleiwakai je puuliaya.","Volveré a mi padre y le diré: Padre, he pecado contra Dios y contra ti,"
¿Eesü asalaa cha ꞌaya suluꞌu  aikaaleekalü?,¿Hay carne allá en la tienda?
"Aa, antajachi taya si'iralüin müshia ekirajaainjachi süka tü türompakaa  müshi tamüin ekirajüikai.","Si, el profesor me dijo que viniera en guayuco y practicara con la flauta ."
Nüsouktakalaka Jesús:—Nnojoishi e'itaanüin taya sünain pütchipü'üin süpüla pümüinjachin taya süchiirua tia —nümakalaka nümüin.,"Jesús le contestó:—Amigo, ¿quién me ha puesto por juez o repartidor de herencias entre ustedes?"
"Nu'unakalaka chi palajachikai aapiee sünain ni'yotüin tü sulu'ukat tü iita najapulujutkat saa'u wayuu sainküin mmakat süpüshua. Je na wayuu kanainkana nejeetse chi wanülüükai, na eekai na'waajüin tü niyaakuakat, eweetüsü nanain wane yooi kajükat atüma ma'i nata sümaa alin ma'i namüin.","Partió el primer ángel, derramó su copa sobre la tierra y llagas repugnantes y dolorosas se abatieron sobre los que estaban tatuados con la marca de la bestia y adoraban su imagen."
antapaatasü wainma wayuu chajee shipialu'umüin Marta je María sünain alapalawaa naya.,muchos judíos habían ido a visitar Marta y María para darles el pésame por la muerte de su hermano.
"“Je nüle'ejapa chi nipiuunasekai, ‘Aluwataashikalee, taa'inrüitpa tü puluwataakat anain taya. Otta tü pipiakat, nnojolüyülia shia wotüin’, nümakalaka nümüin.","El criado volvió y le dijo: «Señor, he hecho lo que me ordenaste y aún quedan lugares vacíos»."
"Antüinjana na tooluyukana si'iralu'u, otta na jieyukana wayuushe'inrujana sümaa kachepainjana.","Los hombres deben  venir en wayuuco, las  niñas en manta y maquilladas."
"Je na'aka na Levíkana e'iruku, wane nuu'uliwo'ukalüirua Abraham, eeshii eekai na'yataain sünain sacerdotein. Saashin tü nüshajakat paala Moisés, acheküsü akotchajünajatüin süpüshi suwashirüin tü wayuukolüirua, tü polookot sünainjee poloo shikii, natüma na sacerdote Levíkana nama'anajee na nawalayuukana, mayaashiije'e nüchooin naya Abraham napüshua.","Sabido es que, según la ley, los sacerdotes pertenecientes a la tribu de Leví tienen derecho a percibir la décima parte de los bienes del pueblo, es decir, de sus propios hermanos que son también ellos descendientes de Abrahán."
"—Juu'ulaapa ne'e —nümakalaka Jesús. —Chi eekai naa'inrüin wane kasa anasü, tü nütüjakat apüleerua Maleiwa nümüiwa, süka pülashin nia naajüin tatüma, nnojoleerü mojuin nünüiki tamüin mapeena.","Jesús contestó:—No se lo prohíban, porque nadie puede hacer milagros en mi nombre y al mismo tiempo hablar mal de mí."
"Tatüjaa aa'uchii jia anoujashiikana sünain jaa'inrüin kasa eekai anain. Ja'itaina mojutüin jia tanainjee sütüma wayuu cha'aya, nnojoliishii jia aattajaain taa'u. Ayatshi'iya jia oonooin sümaa tanüiki. Tamüshii paala jia: Jutatüsü tatüma ekerotoo nünainmüin Maleiwa jüpüleerua je nnojoleena jia aleejünüin nütüma.","—Conozco tu comportamiento y te he abierto una puerta que nadie podrá cerrar, porque, aunque eres débil, te has mantenido fiel tanto a mi mensaje como a mi persona."
"Ajutüneena naya natüma na aapieekana sa'akamüin tü sikikat, tü kanüliakat Hades süpüleekat tü ouktüsükalüirua, eere na'yalajeenain ma'i sütüma tü müliaa ne'reetkat.","y los arrojarán al horno encendido, donde llorarán y les rechinarán los dientes."
"Otta sünainjee süpüshua tü naa'inrakat chi Wasenyotsekai Jesucristo, nükanajüitpa tü ouktaakat chi Maleiwakai wapüleerua. Joo'uya waapaiwa miyo'ushaata analu'ut nümüin saa'u tü naa'inrakat.","Pero nosotros hemos de dar gracias Dios, que por medio de nuestro Señor Jesucristo nos concede la victoria."
"Je jüntapa sulu'umüin wane pueulo, nnojoleerü jii'iratüin tü miichi jüntakat alu'u palajana. Waneeitpaleerü jüpülee süma'inru'u eein jia sulu'u tü pueulokot.","Cuando entren en una casa, quédense en ella hasta que salgan del lugar."
Mapü'üshi nia: “Jiyaawajaa jumaala suulia jaainjala süka sülü'ülüin nükalia chi Maleiwakai süpüla aluwatawaa jaa'u”.,"Decía:—Conviértanse, porque ya está cerca el reino de los cielos."
"Shiasa nnojolüiwa'aya kettaain nanüiki, ee'iyata'alaa müshi Jesús yaa pasanain nanain.—Kasataalejese anain jia —nümakalaka namüin.","Todavía estaban hablando de estas cosas, cuando Jesús se puso en medio de ellos y les dijo:—¡La paz sea con ustedes!"
"Lotokalaka joo nünüiki Jesús namüin:—Ouktüichipa Lázaro,",Entonces Jesús se expresó claramente:—Lázaro ha muerto.
