way,esp
"Aa, oꞌuneena waya jooluꞌu eemüin tü aiküleekaa wayuusheꞌin.","Si, ahora vamos a esa tienda de mantas."
Oꞌoojeerü,Yo me bañare
Shijimein,El pescado de ella
Aneechi ma'in pia nükajee  chi püchon mulo'ushikai ; oo'ulaka  müshia e'reechi pia pümüliala  nünainjee  chi matsayüikai .,Tú estarás bien por causa de tu hijo mayor; y/pero  sufrirás por causa del pequeño.
"A’lakajaashi Kamiirü (taya, nia, pia)","Camilo cocina (yo  cocino , él cocina , tú cocinas )"
"Paamala pu’ula yaapünaa yaa, [pootoliraa iwa julu'u, yooto iwa taya pümaa ].","Cuelga tu chinchorro por aquí, para que te acuestes en él, para yo conversar contigo."
c. Roo sümaa siina otta uujolu.,Arroz de cecina con chicha.
Tousajeein tü majayülü a'yataakalü tepialu'u,Quiero besar a la muchacha que trabaja en mi casa
emiraa,estar satisfecho
¿Atüjü sü pia aashaje'er aa?,¿Tú sabes leer?
Nnojoleechi asukajaanüin taya.,A mí no me echarán de menos.
"Nnojoishi antayaain jünain wanee maiku’ulia; jia mainma’alaka ni’rüin wayuuirua majayünnüü ka’walo’ulejüsü, wüitaja ashe’einrü.","No pudo encontrar ningún maizal; lo que veía mucho eran muchachas jóvenes de largos cabellos, vestidas de verde."
Eweeta müsü wanee ka'laira ma'aka tüse.,De repente salió un tigre de por allá hacia acá.
Jülüja jaaꞋin süpüla jütüjainjatüin jüpüshüwa'a.,Presten atención para que todos lo aprendan.
Atüjashii waya [aashaje’eraa jümaa ayaawajaa ].,Nosotros sabemos leer y contar.
"Makaa'ulainsai taya, manneetsesai taya ya'asa .","Yo no tengo chivos, y tampoco tengo ovejos."
Aliniaajuushi epe’eru’umüin ashajuushikalü türa.,Ese texto está alineado a la izquierda.
"Aa, shikirajüin taya seeño Miistika.","Si, me enseñó la seño Mistica."
¿Jamüsü pi Ꞌyalajakaa? püküja tamün jarat a Ꞌyaatakaa pia,¿Por qué estás llorando? dime quien te pegó
"Anakaja tashapajaale , aka sa’atapajü in taya toushu","Es conveniente que me apresure, porque me está esperando mi abuela."
"Ayuuishi, tam üsü sümüin",Yo le dije que está enfermo
